model,dataset,prompt_mode,seed,engine,runtime_kind,literature_accurate_external_runtime,mean_latency_ms,p50_latency_ms,p95_latency_ms,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,hit_rate,cached_tokens_total,cached_tokens_mean,wasted_compute_ratio,reuse_attempts,reuse_successes,speculative_hits,speculative_hit_rate,wasted_compute_ms,utility_proxy_ms,policy_plans_total,policy_bypass_total,policy_exact_total,policy_semantic_partial_total,admission_controller_enabled,admission_plans_total,admission_allow_total,admission_bypass_total,admission_runtime_cache_resets,supports_external_kv,supports_native_prefix_caching,source_json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,reactive_prefix_cache,,,63.24538603109886,62.2176330007278,71.53698809961497,1.0068857251315002,1.0651173627308723,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,strict_reactive_prefix_cache,,,64.01463417199693,63.80336250003893,73.8720738990196,0.9947862266000687,1.0314491536616104,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,greedy_prefix_cache,,,64.47217029682406,63.685113999781606,74.12276020113494,0.987726581592703,1.0279607491088147,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,frequency_speculative,,,64.72521787497953,64.95402400014427,73.18058239970922,0.9838649983094363,1.041195431954836,0.96875,,,0.0,62.0,62.0,62.0,1.0,0.0,3143.95713212798,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_rag_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,vllm_apc,vllm,True,94.94429281241423,61.350327499894775,80.35965709932496,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ultrachat_rag.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,rag,42.0,vllm_apc_shadowkv_plus,vllm,True,50.569938249992674,52.868993000629416,69.11976949922973,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/ultrachat/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ultrachat_rag.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,no_cache,,,35.335837796822034,34.69641400033652,38.81127819959147,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,shadow_kv_plus_lite,,,36.53642792185963,33.96618450005917,50.26545020000412,0.9671399150566855,0.7721263421527714,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,shadow_kv_plus,,,42.68581493730039,38.71643899992705,60.704464948867084,0.8278121865243884,0.6393479990686549,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,shadow_kv,,,44.0537708437887,40.402452000307676,60.299735500302624,0.802106996064428,0.6436392776448694,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2251.3833089697073,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
