         211833 function calls (211493 primitive calls) in 0.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1228(_should_defer_reactive_store)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1057(_set_os_name)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:602(__init__)
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:98(estimate_kv_cache_bytes)
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1050(_set_ident)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.set_name}
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:290(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:325(_acquire_restore)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1054(_set_native_id)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:854(_newname)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:322(_release_save)
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:306(_device_target_for_tier)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1308(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1188(daemon)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    133/0    0.469    0.004    0.000          {built-in method time.sleep}



============================================================
Callers for key functions:
============================================================

Callers for _plan_for_request:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 1 due to restriction <'_plan_for_request'>

Function                                                                                        was called by...
                                                                                                    ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1671(_plan_for_request)  <-      34    0.001    0.044  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)



Callers for _semantic_best_match:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 1 due to restriction <'_semantic_best_match'>

Function                                                                                           was called by...
                                                                                                       ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1627(_semantic_best_match)  <-      35    0.000    0.040  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1671(_plan_for_request)



Callers for _partial_semantic_reuse:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 1 due to restriction <'_partial_semantic_reuse'>

Function                                                                                              was called by...
                                                                                                          ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2002(_partial_semantic_reuse)  <-       3    0.000    0.000  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)



Callers for serve_tokens:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 1 due to restriction <'serve_tokens'>

Function                                                                                   was called by...
                                                                                               ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)  <-      44    0.001    0.533  {method 'acquire' of '_thread.lock' objects}



Callers for _observe_request:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 2 due to restriction <'_observe_request'>

Function                                                                                       was called by...
                                                                                                   ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1615(_observe_request)  <-      44    0.001    0.017  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:389(_observe_request)   <-      45    0.001    0.007  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1615(_observe_request)



Callers for _store_reactive_prefix:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 2 due to restriction <'_store_reactive_prefix'>

Function                                                                                                          was called by...
                                                                                                                      ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1941(_store_reactive_prefix_from_prefill)  <-       3    0.000    0.001  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:507(_should_store_reactive_prefix)         <-       3    0.000    0.000  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1941(_store_reactive_prefix_from_prefill)



Callers for _should_attempt_cache_use:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 169 to 1 due to restriction <'_should_attempt_cache_use'>

Function                                                                                               was called by...
                                                                                                           ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:553(_should_attempt_cache_use)  <-      27    0.000    0.000  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)


